Tumortype,Code TNM 8,T or N or M,Confinement,InvasiveInPeripancreaticSoftTissue,InvasiveInCeliacTrunk,InvasiveInCommonHepaticArtery,InvasiveInSuperiorMesentericArtery,Tumor T7 bei Bedingung,Code TNM 7,Meta LymphNodes,Dist Meta Org
ExocrinePancreasStructureNotAssessedForTumor,T0,,,,,,,PancreasStructureNotAssessedForTumor,T0,,
ExocrinePancreasStructureWithoutEvidenceOfPrimaryTumor,TX,,,,,,,PancreasStructureWithoutEvidenceOfPrimaryPancreasTumor,TX,,
CarcinomaInSituOfExocrinePancreas,Tis,,,,,,,CarcinomaInSituOfPancreas,Tis,,
OptionallyInvasiveExocrinePancreasTumorMax2cm,T1,,Confined,,,,,ConfinedPancreasTumorMax2cm,T1,,
OptionallyInvasiveExocrinePancreasTumorMax2cm,T1,,Invasive,yes,,,,ConfinedPancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,T3,,
OptionallyInvasiveExocrinePancreasTumorMax5mm,T1a,,Confined,,,,,ConfinedPancreasTumorMax2cm,T1,,
OptionallyInvasiveExocrinePancreasTumorMax5mm,T1a,,Invasive,yes,,,,ConfinedPancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,T3,,
OptionallyInvasiveExocrinePancreasTumor5mmTo1cm,T1b,,Confined,,,,,ConfinedPancreasTumorMax2cm,T1,,
OptionallyInvasiveExocrinePancreasTumor5mmTo1cm,T1b,,Invasive,yes,,,,ConfinedPancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,T3,,
OptionallyInvasiveExocrinePancreasTumor1to2cm,T1c,,Confined,,,,,ConfinedPancreasTumorMax2cm,T1,,
OptionallyInvasiveExocrinePancreasTumor1to2cm,T1c,,Invasive,yes,,,,ConfinedPancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,T3,,
OptionallyInvasiveExocrinePancreasTumor2to4cm,T2,,Confined,,,,,ConfinedPancreasTumorMoreThan2cm,T2,,
OptionallyInvasiveExocrinePancreasTumor2to4cm,T2,,Invasive,yes,,,,ConfinedPancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,T3,,
OptionallyInvasiveExocrinePancreasTumorMoreThan4cm,T3,,Confined,,,,,ConfinedPancreasTumorMoreThan2cm,T2,,
OptionallyInvasiveExocrinePancreasTumorMoreThan4cm,T3,,Invasive,yes,,,,ConfinedPancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,T3,,
InvasiveExocrinePancreasTumorInfiltratingDefinedBloodVessels,T4,,,,,,yes,ConfinedPancreasTumorInfiltratesCeliacTrunkOrSuperiorMesentericArtery,T4,,
InvasiveExocrinePancreasTumorInfiltratingDefinedBloodVessels,T4,,,,yes,,,ConfinedPancreasTumorInfiltratesCeliacTrunkOrSuperiorMesentericArtery,T4,,
InvasiveExocrinePancreasTumorInfiltratingDefinedBloodVessels,T4,,,,,yes,,ConfinedPancreasTumorNotBeyondCeliacTrunkOrSuperiorMesentericArtery,T3,,
ExocrinePancreasTumorWithNoAssessmentOfRegionalLymphNodes,NX,,,,,,,TumorOfPancreasWithNoAssessmentOfRegionalLymphNodes,NX,notAssessed,
ExocrinePancreasTumorWithoutMetastaticRegionalLymphNodes,N0,,,,,,,TumorOfPancreasWithNoMetastaticRegionalLymphNodes,N0,0,
ExocrinePancreasTumorWith1to3MetastaticRegionalLymphNodes,N1,,,,,,,TumorOfPancreasWithMetastaticRegionalLymphNodes,N1,1,2,3,
ExocrinePancreasTumorWith4orMoreMetastaticRegionalLymphNodes,N2,,,,,,,TumorOfPancreasWithMetastaticRegionalLymphNodes,N1,>4,
ExocrinePancreasTumorWithoutDistantMetastasis,M0,,,,,,,TumorOfPancreasWithNoDistantMetastasis,M0,,no
ExocrinePancreasTumorWithDistantMetastasis,M1,,,,,,,TumorOfPancreasWithDistantMetastasis,M1,,yes
